2R	164	0.01155847
2R	369	0.43028915
2R	469	0.53984893
2R	569	0.25225451
2R	669	0.53984893
2R	769	0.43028915
2R	869	0.55474055
2R	969	0.53984893
2R	1069	1.00000000
2R	1169	0.43028915
2R	1269	0.53984893
2R	1369	0.71027525
2R	1469	0.43028915
2R	1569	0.43028915
2R	1669	0.66766867
2R	1769	0.66766867
2R	1869	0.43028915
2R	1969	0.53984893
2R	2069	0.53984893
2R	2169	0.33533734
2R	2269	0.53984893
2R	2369	0.53984893
2R	2469	0.53984893
2R	2569	0.81872837
2R	2669	0.66766867
2R	2769	0.53984893
2R	2869	0.66766867
2R	2969	0.25225451
2R	3069	0.53984893
2R	3169	0.43028915
2R	3269	0.66766867
2R	3369	0.53984893
2R	3469	0.66766867
2R	3569	0.49592114
2R	3669	0.66766867
2R	3769	0.66766867
2R	3869	0.25225451
2R	3969	0.66766867
2R	4069	0.81872837
2R	4169	0.25225451
2R	4269	0.53984893
2R	4369	0.53984893
2R	4469	0.41870148
2R	4569	0.81872837
2R	4590	0.02149397
2R	4669	0.43028915
2R	4769	0.66766867
2R	4869	0.27631086
2R	4969	0.25225451
2R	5069	0.33533734
2R	5169	0.81872837
2R	5269	0.53984893
2R	5369	0.37631513
2R	5469	0.53360927
2R	5569	0.66766867
2R	5669	0.53984893
2R	5775	0.00150301
2R	5817	0.02149397
2R	5820	0.16766867
2R	5876	0.04298180
2R	6073	0.02149397
2R	6182	0.02912247
2R	6301	0.04144289
2R	6338	0.25380053
2R	6357	0.06660049
2R	6363	0.01155847
2R	6451	0.66766867
2R	6551	0.43028915
2R	6651	0.81872837
2R	6751	0.43028915
2R	6851	0.53984893
2R	6951	0.53984893
2R	7443	0.01161920
2R	7752	0.33533734
2R	7834	0.01161920
2R	7852	0.26582278
2R	7878	0.01161920
2R	7952	0.23686880
2R	7991	0.00150301
2R	8007	0.01257460
2R	8057	0.04144289
2R	8058	0.01055322
2R	8083	0.01155847
2R	8217	0.01161920
2R	8267	0.17894613
2R	8367	0.33533734
2R	8467	0.55474055
2R	8567	0.43028915
2R	8667	0.66766867
2R	8767	0.66766867
2R	8867	0.48304015
2R	8967	0.53984893
2R	9023	0.06334544
2R	9035	0.04933677
2R	9046	0.00150301
2R	9067	0.33533734
2R	9078	0.17894613
2R	9167	0.43028915
2R	9237	0.02149397
2R	9267	0.03035197
2R	9295	0.25225451
2R	9303	0.06554393
2R	9345	0.09218437
2R	9440	0.01501670
2R	9519	0.01155847
2R	9619	0.04144289
2R	9648	0.16816967
2R	9654	0.02149397
2R	9669	0.25349689
2R	9701	0.08929251
2R	9721	0.25225451
2R	9769	0.17894613
2R	9781	0.04144289
2R	9812	0.01461590
2R	9849	0.09995816
2R	9869	0.43028915
2R	9874	0.04558370
2R	9949	0.06570940
2R	9965	0.00150301
2R	10080	0.04298180
2R	10117	0.16766867
2R	10119	0.01155847
2R	10263	0.09218437
