2R	500	13	0.996	0.007598026
2R	1500	15	1.000	0.008731885
2R	2500	13	1.000	0.007613315
2R	3500	16	1.000	0.009314011
2R	4500	13	1.000	0.007658997
2R	5500	14	1.000	0.008195441
2R	6500	15	1.000	0.008731885
2R	7500	14	1.000	0.008195441
2R	8500	14	1.000	0.008149759
2R	9500	21	1.000	0.012224639
2R	10500	23	1.000	0.013434572
2R	11500	13	1.000	0.007613315
2R	12500	13	1.000	0.007613315
2R	13500	10	1.000	0.005821257
2R	14500	5	1.000	0.002956310
2R	15500	13	1.000	0.007567634
2R	16500	9	1.000	0.005239131
2R	17500	12	1.000	0.006985508
2R	18500	7	0.878	0.004641093
2R	19500	10	1.000	0.005821257
2R	20500	15	1.000	0.008731885
2R	21500	16	1.000	0.009359692
2R	22500	13	1.000	0.007613315
2R	23500	13	0.986	0.007675085
2R	24500	16	1.000	0.009314011
2R	25500	11	1.000	0.006449064
2R	26500	13	1.000	0.007613315
2R	27500	13	1.000	0.007613315
2R	28500	10	1.000	0.005866938
2R	29500	11	0.773	0.008342903
2R	30500	10	0.696	0.008495144
2R	31500	1	0.547	0.001064215
2R	32500	0	0.383	na
2R	33500	15	1.000	0.008823248
2R	34500	11	1.000	0.006403382
2R	35500	9	1.000	0.005239131
2R	36500	10	1.000	0.005821257
2R	37500	9	1.000	0.005239131
2R	38500	21	1.000	0.012316002
2R	39500	31	0.943	0.019185130
2R	40500	35	0.985	0.020684668
2R	41500	16	0.877	0.010620309
2R	42500	12	1.000	0.006985508
2R	43500	10	1.000	0.005821257
2R	44500	18	1.000	0.010478262
2R	45500	30	1.000	0.017509452
2R	46500	38	1.000	0.022303502
2R	47500	15	1.000	0.008777567
2R	48500	16	1.000	0.009314011
2R	49500	43	1.000	0.025305494
2R	50500	39	1.000	0.022839946
2R	51500	9	1.000	0.005284813
2R	52500	15	1.000	0.008777567
2R	53500	12	1.000	0.006985508
2R	54500	11	1.000	0.006449064
2R	55500	16	1.000	0.009314011
2R	56500	11	1.000	0.006403382
2R	57500	12	1.000	0.006985508
2R	58500	13	1.000	0.007658997
2R	59500	14	1.000	0.008195441
2R	60500	11	1.000	0.006403382
2R	61500	12	1.000	0.006985508
2R	62500	13	1.000	0.007613315
2R	63500	8	1.000	0.004657005
2R	64500	10	1.000	0.005821257
2R	65500	12	1.000	0.006985508
2R	66500	12	1.000	0.006985508
2R	67500	14	1.000	0.008241123
2R	68500	10	1.000	0.005866938
2R	69500	29	1.000	0.016973008
2R	70500	14	1.000	0.008195441
2R	71500	20	1.000	0.011688195
2R	72500	17	1.000	0.009941818
2R	73500	8	1.000	0.004702687
2R	74500	12	1.000	0.006985508
2R	75500	23	1.000	0.013434572
2R	76500	35	1.000	0.020511444
2R	77500	23	1.000	0.013388890
2R	78500	50	1.000	0.029197647
2R	79500	33	0.983	0.019542367
2R	80500	48	0.986	0.028431436
2R	81500	28	0.967	0.016950240
2R	82500	26	1.000	0.015180949
2R	83500	15	1.000	0.008731885
2R	84500	19	1.000	0.011151751
2R	85500	8	0.561	0.008382686
2R	86500	2	0.139	na
2R	87500	13	1.000	0.007567634
2R	88500	16	1.000	0.009314011
2R	89500	11	0.977	0.006600884
2R	90500	12	1.000	0.006985508
2R	91500	21	0.979	0.012626848
2R	92500	16	0.969	0.009611982
2R	93500	0	0.000	na
2R	94500	10	0.731	0.007963415
2R	95500	20	1.000	0.011841411
2R	96500	13	1.000	0.007658997
2R	97500	14	1.000	0.008149759
2R	98500	11	1.000	0.006403382
2R	99500	13	1.000	0.007658997
2R	100500	37	1.000	0.021675695
2R	101500	11	1.000	0.006494746
2R	102500	15	0.939	0.009299132
2R	103500	14	0.775	0.010515818
2R	104500	13	1.000	0.007567634
2R	105500	16	1.000	0.009359692
2R	106500	15	1.000	0.008731885
2R	107500	11	1.000	0.006403382
2R	108500	11	1.000	0.006403382
2R	109500	16	1.000	0.009359692
2R	110500	7	1.000	0.004074880
2R	111500	18	1.000	0.010523944
2R	112500	8	1.000	0.004657005
2R	113500	7	1.000	0.004120561
2R	114500	18	1.000	0.010478262
2R	115500	6	1.000	0.003492754
2R	116500	11	1.000	0.006449064
2R	117500	10	1.000	0.005821257
2R	118500	14	0.658	0.012385652
2R	119500	9	0.813	0.006444196
2R	120500	6	0.467	na
2R	121500	3	0.466	na
2R	122500	17	0.762	0.013106955
2R	123500	8	1.000	0.004657005
2R	124500	15	1.000	0.008777567
2R	125500	13	1.000	0.007613315
2R	126500	10	1.000	0.005866938
2R	127500	8	1.000	0.004657005
2R	128500	39	1.000	0.022794264
2R	129500	10	1.000	0.005821257
2R	130500	9	1.000	0.005284813
2R	131500	14	1.000	0.008149759
2R	132500	9	1.000	0.005330494
2R	133500	10	0.945	0.006160060
2R	134500	1	0.128	na
2R	135500	1	0.365	na
2R	136500	19	0.785	0.014147859
2R	137500	10	0.858	0.006837924
2R	138500	14	1.000	0.008149759
2R	139500	13	1.000	0.007567634
2R	140500	10	1.000	0.005866938
2R	141500	11	1.000	0.006449064
2R	142500	18	1.000	0.010569625
2R	143500	9	0.769	0.006812914
2R	144500	16	0.849	0.011024373
2R	145500	49	1.000	0.028752566
2R	146500	22	1.000	0.012806765
2R	147500	18	1.000	0.010615307
2R	148500	11	1.000	0.006449064
2R	149500	12	1.000	0.006985508
2R	150500	12	1.000	0.007031190
2R	151500	11	1.000	0.006403382
2R	152500	11	1.000	0.006494746
2R	153500	9	1.000	0.005239131
2R	154500	10	1.000	0.005821257
2R	155500	10	1.000	0.005974472
2R	156500	13	1.000	0.007567634
2R	157500	11	1.000	0.006494746
2R	158500	13	1.000	0.007567634
2R	159500	12	1.000	0.007031190
2R	160500	11	1.000	0.006403382
2R	161500	13	1.000	0.007613315
2R	162500	12	1.000	0.006985508
2R	163500	13	1.000	0.007567634
2R	164500	22	1.000	0.012806765
2R	165500	19	1.000	0.011106069
2R	166500	11	1.000	0.006403382
2R	167500	11	1.000	0.006556598
2R	168500	13	1.000	0.007567634
2R	169500	14	1.000	0.008241123
2R	170500	13	1.000	0.007567634
2R	171500	10	1.000	0.005821257
